county	year	一般政務	債務	教科文	社會福利	社發環境	經濟發展	補助及其他	退休撫卹	總預算
臺北市	2017	0.158100285	0.007602152	0.401292978	0.159070658	0.09199128	0.132331571	0.017467656	0.03214342	165758993
臺南市	2017	0.194515014	0.01001882	0.383392438	0.125272733	0.045660321	0.171752744	0.023535197	0.045852733	79849723
臺東縣	2017	0.276942938	0.006249478	0.305422685	0.133652965	0.01368717	0.108617056	0.025365694	0.130062015	16001336
花蓮縣	2017	0.219867908	0.007940359	0.280549877	0.120858538	0.073322727	0.149213831	0.019311549	0.128935212	19117524
苗栗縣	2017	0.227315482	0.031814831	0.377957487	0.116057905	0.036819781	0.06907127	0.023336178	0.117627065	18859129
連江縣	2017	0.203363214	0.000175986	0.281428938	0.079658399	0.034882227	0.371816629	0.016372584	0.012302023	3409358
金門縣	2017	0.188574208	0	0.215717153	0.103930446	0.064868727	0.363185051	0.021298871	0.042425544	13949002
雲林縣	2017	0.160975415	0.017678034	0.325703792	0.158420549	0.009142826	0.176936011	0.029667979	0.121475393	28297377
高雄市	2017	0.171791512	0.017509303	0.341251238	0.188725729	0.066579943	0.144603451	0.019847432	0.049691394	128799990
南投縣	2018	0.198558868	0.00787085	0.330364119	0.152463709	0.016482858	0.140146751	0.029821933	0.124290911	23918000
嘉義市	2018	0.230847545	0.00087453	0.316938737	0.126997427	0.048414987	0.132933562	0.021465538	0.121527673	13137337
嘉義縣	2018	0.183624571	0.015836735	0.304459674	0.165653469	0.004909878	0.157113102	0.037559102	0.130843469	24500000
基隆市	2018	0.240970841	0.009993254	0.299637059	0.151338012	0.051079475	0.11674306	0.017087336	0.113150965	17711948
宜蘭縣	2018	0.187830343	0.009313453	0.345081553	0.139300705	0.068034644	0.108830043	0.029136659	0.112472601	20798301
屏東縣	2018	0.208194869	0.006250355	0.329404256	0.159082306	0.014116171	0.117530201	0.020062702	0.14535914	35198000
彰化縣	2018	0.176712823	0.008430645	0.363949629	0.179036852	0.007438542	0.135051154	0.022209529	0.107170827	43148776
新北市	2018	0.190297985	0.00590703	0.349912392	0.145308094	0.092271959	0.17227335	0.022991335	0.021037855	162038957
新竹市	2018	0.172572047	0.010301137	0.325325639	0.13544469	0.072631499	0.122956034	0.039438735	0.12133022	20386100
新竹縣	2018	0.170756428	0.018047516	0.375318097	0.119005968	0.049856032	0.108158147	0.041127927	0.117729887	23001670
桃園市	2018	0.176101436	0.002103869	0.376763001	0.165023776	0.052100278	0.198639356	0.015354073	0.013914212	110054384
澎湖縣	2018	0.254766824	0.001814653	0.243403673	0.153671268	0.043680011	0.176692315	0.031378314	0.094592942	9224906
臺中市	2018	0.178676014	0.004626658	0.398232908	0.143016226	0.067365219	0.164443482	0.019123519	0.024515974	129683243
臺北市	2018	0.159085047	0.005156159	0.345990678	0.180098313	0.087298604	0.176110252	0.014952056	0.031308892	172551522
臺南市	2018	0.185324061	0.007527067	0.364290987	0.139794676	0.043581369	0.192396105	0.024218508	0.042867227	84857087
臺東縣	2018	0.277533761	0.005255776	0.252873766	0.126920415	0.01315568	0.174959466	0.041516739	0.107784398	19026687
花蓮縣	2018	0.240283975	0.00609719	0.281495442	0.117982624	0.072777598	0.151604586	0.018881681	0.110876903	20042019
苗栗縣	2018	0.233450979	0.029060856	0.366857743	0.124190457	0.018741663	0.063083879	0.022836549	0.141777876	18925802
連江縣	2018	0.195411259	0.000167877	0.232345808	0.083391904	0.01964381	0.435900205	0.020752636	0.012386501	3574052
金門縣	2018	0.167978732	0	0.231037692	0.108390157	0.061063584	0.368350607	0.022363801	0.040815428	12904336
雲林縣	2018	0.156623669	0.016937602	0.313674063	0.175776004	0.009487937	0.16951403	0.0401339	0.117852794	29281181
高雄市	2018	0.176276972	0.017383223	0.344715391	0.18907622	0.066108554	0.133100139	0.019743592	0.053595908	129165402
南投縣	2019	0.205047001	0.007040052	0.308697566	0.162175539	0.013856174	0.148815406	0.029797844	0.124570418	23744000
嘉義市	2019	0.221390822	0.000403545	0.31943181	0.127387756	0.047557353	0.159880473	0.021821105	0.102127136	13748158
嘉義縣	2019	0.197822538	0.015905551	0.273088587	0.171075551	0.004251742	0.176721284	0.027362548	0.133772198	24394000
基隆市	2019	0.219965343	0.005148865	0.325133079	0.155691337	0.05535648	0.117758153	0.019030206	0.101916536	19421755
宜蘭縣	2019	0.179980524	0.00890257	0.321147071	0.14058386	0.067583592	0.172164096	0.023166838	0.086471449	23664516
屏東縣	2019	0.189345075	0.00550399	0.333203297	0.151737435	0.038915989	0.13894501	0.018875084	0.123474119	39971000
彰化縣	2019	0.15377375	0.007664482	0.33688899	0.178087548	0.007387238	0.197113347	0.021948301	0.097136344	50071485
新北市	2019	0.194259801	0.005499138	0.348675202	0.157072988	0.093887236	0.158249058	0.021527358	0.020829218	163662023
新竹市	2019	0.176215219	0.008839918	0.332468969	0.131553989	0.066198315	0.144130245	0.036125994	0.104467351	20362180
新竹縣	2019	0.157500416	0.011722406	0.346103072	0.131652158	0.053024703	0.173071991	0.027800468	0.099124786	25592015
桃園市	2019	0.165696617	0.001341749	0.389218327	0.147288208	0.058099529	0.210516197	0.015174143	0.012665231	114510980
澎湖縣	2019	0.239376412	0.001661669	0.2222372	0.169228075	0.047201621	0.207090105	0.030336079	0.082868839	10074209
臺中市	2019	0.184355425	0.005214331	0.41356376	0.144465083	0.069832413	0.138118857	0.0196515	0.024798631	124656440
臺北市	2019	0.173334158	0.006024607	0.367741609	0.157903729	0.091109975	0.155504479	0.015528993	0.03285245	164917321
臺南市	2019	0.186155423	0.006839886	0.341240385	0.142573592	0.039576846	0.228487932	0.01807353	0.037052406	86258744
臺東縣	2019	0.295982841	0.006068261	0.237893864	0.156707568	0.01338883	0.128866021	0.035801285	0.12529133	16479185
花蓮縣	2019	0.23186645	0.005527363	0.296503712	0.124272351	0.048989442	0.15952494	0.020871313	0.112444428	22108192
苗栗縣	2019	0.235296906	0.029031523	0.382113066	0.119697498	0.027194567	0.069182859	0.021237879	0.116245703	18944924
連江縣	2019	0.163394492	0.000138625	0.3017574	0.081543141	0.023454489	0.403066439	0.015484916	0.011160498	4328212
金門縣	2019	0.151733689	0	0.247806264	0.111056227	0.061850212	0.369956539	0.020897754	0.036699315	13563850
雲林縣	2019	0.137096347	0.014145156	0.269776784	0.169185774	0.013395171	0.285389769	0.022784054	0.088226945	34942069
高雄市	2019	0.173693439	0.016820122	0.346526203	0.199126832	0.056967076	0.139264474	0.019094307	0.048507547	133489579
